id	output
{"blockNumber":32566679,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"139515664826200000000000000000"
{"blockNumber":33029393,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"14091080289834263219588344000000"
{"blockNumber":33057496,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"1072056487088279470204426580000000"
{"blockNumber":33080300,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"1072335518154685954285411616000000"
{"blockNumber":33102831,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"1070854701267925954285411616000000"
{"blockNumber":33102978,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"1072374252014581954121199460000000"
{"blockNumber":33103064,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"1064870167580781954121199460000000"
{"blockNumber":33104169,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"1064870413414258295354222404000000"
{"blockNumber":33151556,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"1067077942156761206779212738669974"
{"blockNumber":33151574,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"1065628546970608166423442634025606"
{"blockNumber":33156330,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"1074493107196797076479317672000000"
{"blockNumber":33316233,"chainId":43114,"indexToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","indexTokenPriceMax":"13954148000000","indexTokenPriceMin":"13954148000000","longToken":"0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7","longTokenPriceMax":"13954148000000","longTokenPriceMin":"13954148000000","marketToken":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf","shortToken":"0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e","shortTokenPriceMax":"999990530000000000000000","shortTokenPriceMin":"999990530000000000000000"}	"1075495468574171951554250672000000"
