id	output
{"blockNumber":32566679,"chainId":43114,"marketAddress":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf"}	"139471709260000000"
{"blockNumber":110850648,"chainId":42161,"marketAddress":"0x70d95587d40a2caf56bd97485ab3eec10bee6336"}	"196173654105000000"
{"blockNumber":110851245,"chainId":42161,"marketAddress":"0x70d95587d40a2caf56bd97485ab3eec10bee6336"}	"392285502074821917"
{"blockNumber":110853221,"chainId":42161,"marketAddress":"0x70d95587d40a2caf56bd97485ab3eec10bee6336"}	"20000380917823635281"
{"blockNumber":110865138,"chainId":42161,"marketAddress":"0x70d95587d40a2caf56bd97485ab3eec10bee6336"}	"39675756810850656934"
{"blockNumber":33029393,"chainId":43114,"marketAddress":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf"}	"14082246606469853010"
{"blockNumber":33057496,"chainId":43114,"marketAddress":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf"}	"1097074495725389812737"
{"blockNumber":33080300,"chainId":43114,"marketAddress":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf"}	"1097353929034841784416"
{"blockNumber":33310190,"chainId":43114,"marketAddress":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf"}	"1097492303028719636162"
{"blockNumber":33310310,"chainId":43114,"marketAddress":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf"}	"1097519977825911798721"
{"blockNumber":33310715,"chainId":43114,"marketAddress":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf"}	"1097533814518349617339"
{"blockNumber":33315012,"chainId":43114,"marketAddress":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf"}	"1125067979195013752408"
{"blockNumber":33315044,"chainId":43114,"marketAddress":"0x913c1f46b48b3ed35e7dc3cf754d4ae8499f31cf"}	"1097533814518349617339"
{"blockNumber":33057504,"chainId":43114,"marketAddress":"0xfb02132333a79c8b5bd0b64e3abcca5f7faf2937"}	"1149831327564849827056"
{"blockNumber":33057532,"chainId":43114,"marketAddress":"0xb7e69749e3d2edd90ea59a4932efea2d41e245d7"}	"1151730746322387622134"
{"blockNumber":33057562,"chainId":43114,"marketAddress":"0xd1cf931fa12783c1dd5abb77a0706c27cf352f25"}	"1029292277652931185344"
{"blockNumber":33064415,"chainId":43114,"marketAddress":"0xfb02132333a79c8b5bd0b64e3abcca5f7faf2937"}	"1152744963904432881241"
{"blockNumber":33233076,"chainId":43114,"marketAddress":"0xfb02132333a79c8b5bd0b64e3abcca5f7faf2937"}	"1184516882245795202211"
{"blockNumber":33233127,"chainId":43114,"marketAddress":"0xfb02132333a79c8b5bd0b64e3abcca5f7faf2937"}	"1152744963904432881241"
{"blockNumber":33233231,"chainId":43114,"marketAddress":"0xfb02132333a79c8b5bd0b64e3abcca5f7faf2937"}	"1182901771148237642511"
{"blockNumber":33233328,"chainId":43114,"marketAddress":"0xfb02132333a79c8b5bd0b64e3abcca5f7faf2937"}	"1152744963904432881241"
{"blockNumber":33241462,"chainId":43114,"marketAddress":"0xfb02132333a79c8b5bd0b64e3abcca5f7faf2937"}	"1181739196658555710623"
{"blockNumber":33241519,"chainId":43114,"marketAddress":"0xfb02132333a79c8b5bd0b64e3abcca5f7faf2937"}	"1152744963904432881241"
{"blockNumber":33298790,"chainId":43114,"marketAddress":"0x8970b527e84aa17a33d38b65e9a5ab5817fc0027"}	"314624320729026727443"
{"blockNumber":33298796,"chainId":43114,"marketAddress":"0xa74586743249243d3b77335e15fe768ba8e1ec5a"}	"314624320729026727443"
{"blockNumber":33298806,"chainId":43114,"marketAddress":"0x297e71a931c5825867e8fb937ae5cda9891c2e99"}	"299969999000000000000"
{"blockNumber":33298819,"chainId":43114,"marketAddress":"0xdf8c9bd26e7c1a331902758eb013548b2d22ab3b"}	"299969999000000000000"
{"blockNumber":33298858,"chainId":43114,"marketAddress":"0xa7b768d6a1f746fd5a513d440df2970ff099b0fc"}	"299937338266508880000"
{"blockNumber":33298869,"chainId":43114,"marketAddress":"0xdf8c9bd26e7c1a331902758eb013548b2d22ab3b"}	"498115741422269782036"
{"blockNumber":33298904,"chainId":43114,"marketAddress":"0xf3652eba45dc761e7add4091627d5cda21f61613"}	"149539396377561600000"
{"blockNumber":33298923,"chainId":43114,"marketAddress":"0x297e71a931c5825867e8fb937ae5cda9891c2e99"}	"379956508993463685910"
{"blockNumber":33298931,"chainId":43114,"marketAddress":"0x8970b527e84aa17a33d38b65e9a5ab5817fc0027"}	"464369410318794026218"
{"blockNumber":33298955,"chainId":43114,"marketAddress":"0xa74586743249243d3b77335e15fe768ba8e1ec5a"}	"464369410318794026218"
{"blockNumber":33298988,"chainId":43114,"marketAddress":"0xa7b768d6a1f746fd5a513d440df2970ff099b0fc"}	"449218522782146388847"
{"blockNumber":33299001,"chainId":43114,"marketAddress":"0xf3652eba45dc761e7add4091627d5cda21f61613"}	"298836836348724194263"
{"blockNumber":33299291,"chainId":43114,"marketAddress":"0xd2efd1ea687cd78c41ac262b3bc9b53889ff1f70"}	"249824374000000000000"
{"blockNumber":33299309,"chainId":43114,"marketAddress":"0x297e71a931c5825867e8fb937ae5cda9891c2e99"}	"404951932206569499822"
{"blockNumber":33299587,"chainId":43114,"marketAddress":"0xd2efd1ea687cd78c41ac262b3bc9b53889ff1f70"}	"566926661607056107821"
{"blockNumber":33299646,"chainId":43114,"marketAddress":"0xd2efd1ea687cd78c41ac262b3bc9b53889ff1f70"}	"1541341201792307373067"
{"blockNumber":33311429,"chainId":43114,"marketAddress":"0xd2efd1ea687cd78c41ac262b3bc9b53889ff1f70"}	"1541584833884933275539"
{"blockNumber":33311539,"chainId":43114,"marketAddress":"0xd2efd1ea687cd78c41ac262b3bc9b53889ff1f70"}	"1541594798310543413794"
{"blockNumber":33311997,"chainId":43114,"marketAddress":"0xfb02132333a79c8b5bd0b64e3abcca5f7faf2937"}	"1191546598366360739507"
{"blockNumber":33312047,"chainId":43114,"marketAddress":"0xfb02132333a79c8b5bd0b64e3abcca5f7faf2937"}	"1152744963904432881241"
{"blockNumber":33312135,"chainId":43114,"marketAddress":"0xdf8c9bd26e7c1a331902758eb013548b2d22ab3b"}	"518103587018372149759"
{"blockNumber":33312162,"chainId":43114,"marketAddress":"0xdf8c9bd26e7c1a331902758eb013548b2d22ab3b"}	"498115741422269782036"
{"blockNumber":33312417,"chainId":43114,"marketAddress":"0xa7b768d6a1f746fd5a513d440df2970ff099b0fc"}	"476624695484849867035"
{"blockNumber":33312482,"chainId":43114,"marketAddress":"0xa7b768d6a1f746fd5a513d440df2970ff099b0fc"}	"449218522782146388847"
